Learning Rate,L2 Penalty,Optimizer,Model,Momentum,Mini_batch,Loss,Epoch
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43531912565231323,69.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43527859449386597,70.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4352388083934784,71.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4351995289325714,72.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4351610541343689,73.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4351232051849365,74.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4350859522819519,75.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43504929542541504,76.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4350133538246155,77.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43497800827026367,78.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43494319915771484,79.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4349089562892914,80.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43487536907196045,81.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4348423182964325,82.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4348098337650299,83.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4347779154777527,84.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43474647402763367,85.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43471559882164,86.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43468526005744934,87.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43465542793273926,88.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.434626042842865,89.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4345972537994385,90.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43456894159317017,91.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4345410466194153,92.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4345135986804962,93.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4344867169857025,94.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4344601631164551,95.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.434434175491333,96.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4344085454940796,97.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43438342213630676,98.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4343585968017578,99.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.44085392355918884,0.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4405307471752167,1.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.44011956453323364,2.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43964093923568726,3.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43911442160606384,4.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43855831027030945,5.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43798917531967163,6.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4374213218688965,7.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43686729669570923,8.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4363372027873993,9.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43583887815475464,10.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4353782534599304,11.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4349592328071594,12.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4345841705799103,13.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4342537224292755,14.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43396735191345215,15.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43372341990470886,16.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4335196316242218,17.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43335291743278503,18.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.433219850063324,19.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43311670422554016,20.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43303972482681274,21.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329850971698761,22.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329492449760437,23.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43292856216430664,24.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43292003870010376,25.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43292078375816345,26.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.43292808532714844,27.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329400062561035,28.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329545199871063,29.0
0.01,0.4,SGD,Regression,Momentum: True,Mini-Batch: True,0.4329701364040375,30.0
